parameter,value,distribute
k1_RelBnp50nIkBannucExport-NFkB,0.84,0
k1_RelBnp50nIkBbnnucExport-NFkB,0.42,0
k1_RelBnp50nIkBennucExport-NFkB,0.42,0
k1_RelBnp50nIkBdnnucExport-NFkB,0.42,0
k1_RelBnp52nIkBannucExport-NFkB,0,0
k1_RelBnp52nIkBbnnucExport-NFkB,0,0
k1_RelBnp52nIkBennucExport-NFkB,0,0
k1_RelBnp52nIkBdnnucExport-NFkB,0,0
k1_cRelnp100nIkBannucExport-NFkB,0,0
k1_cRelnp100nIkBbnnucExport-NFkB,0,0
k1_cRelnp100nIkBennucExport-NFkB,0,0
k1_cRelnp100nIkBdnnucExport-NFkB,0,0
k1_cRelnp50nIkBannucExport-NFkB,0.84,0
k1_cRelnp50nIkBbnnucExport-NFkB,0.42,0
k1_cRelnp50nIkBennucExport-NFkB,0.42,0
k1_cRelnp50nIkBdnnucExport-NFkB,0.42,0
k1_cRelnp52nIkBannucExport-NFkB,0.84,0
k1_cRelnp52nIkBbnnucExport-NFkB,0.42,0
k1_cRelnp52nIkBennucExport-NFkB,0.42,0
k1_cRelnp52nIkBdnnucExport-NFkB,0.42,0
k1_RelAnp52nIkBannucExport-NFkB,0.84,0
k1_RelAnp52nIkBbnnucExport-NFkB,0.42,0
k1_RelAnp52nIkBennucExport-NFkB,0.42,0
k1_RelAnp52nIkBdnnucExport-NFkB,0.42,0
k1_IkBaDegIKK-NFkB,0.0014,1
k1_IkBbDegIKK-NFkB,0.0014,1
k1_IkBeDegIKK-NFkB,0.0014,1
vmax_IkBd-NFkB,0.6,0
Km_IkBd-NFkB,10,0
k1_IkBDeg-NFkB,0.00024,1
k1_NFkBDeg-NFkB,0.00024,1
k1_tIkBb-NFkB,0.0012,1
kmax_IkBaSynth-NFkB,0.0048,1
k1_IkBaSynth-NFkB,200,0
Kd1_IkBaSynth-NFkB,150,0
k2_IkBaSynth-NFkB,200,0
Kd2_IkBaSynth-NFkB,150,0
kh_IkBaSynth-NFkB,1.1,0
kmax_IkBeSynth-NFkB,7.20E-05,1
k1_IkBeSynth-NFkB,5,0
Kd1_IkBeSynth-NFkB,150,0
k2_IkBeSynth-NFkB,5,0
Kd2_IkBeSynth-NFkB,150,0
k3_IkBeSynth-NFkB,25,0
Kd3_IkBeSynth-NFkB,150,0
k4_IkBeSynth-NFkB,25,0
Kd4_IkBeSynth-NFkB,150,0
delay_IkBeSynth-NFkB,45,0
kh_IkBeSynth-NFkB,1.1,0
k1_tIkBaDeg-NFkB,0.029,1
k1_tIkBbDeg-NFkB,0.0029,1
k1_tIkBeDeg-NFkB,0.0038,1
k1_IkBTsl-NFkB,12,0
k1_IkBadeg-NFkB,0.12,1
k1_IkBbdeg-NFkB,0.12,1
k1_IkBedeg-NFkB,0.01155,1
k1_IkBddeg-NFkB,0.003,1
k1_IkBanucImport-NFkB,0.06,0
k1_IkBbnucImport-NFkB,0.009,0
k1_IkBenucImport-NFkB,0.045,0
k1_IkBdnucImport-NFkB,0.045,0
k1_IkBannucExport-NFkB,0.012,0
k1_IkBbnnucExport-NFkB,0.012,0
k1_IkBennucExport-NFkB,0.012,0
k1_IkBdnnucExport-NFkB,0.012,0
vmax_p100-NFkB,0.05,0
Km_p100-NFkB,10,0
k1_RelASynth-NFkB,0.00012,1
basal_p50Synth-NFkB,1.80E-05,1
k1_p50Synth-NFkB,20,0
Kd1_p50Synth-NFkB,150,0
k2_p50Synth-NFkB,20,0
Kd2_p50Synth-NFkB,150,0
k3_p50Synth-NFkB,20,0
Kd3_p50Synth-NFkB,150,0
k4_p50Synth-NFkB,20,0
Kd4_p50Synth-NFkB,150,0
kh_p50Synth-NFkB,1,0
basal_RelBSynth-NFkB,5.20E-05,1
k1_RelBSynth-NFkB,5,0
Kd1_RelBSynth-NFkB,150,0
k2_RelBSynth-NFkB,5,0
Kd2_RelBSynth-NFkB,150,0
k3_RelBSynth-NFkB,100,0
Kd3_RelBSynth-NFkB,150,0
k4_RelBSynth-NFkB,100,0
Kd4_RelBSynth-NFkB,150,0
kh_RelBSynth-NFkB,1,0
basal_p100Synth-NFkB,1.40E-05,1
k1_p100Synth-NFkB,1000,0
Kd1_p100Synth-NFkB,150,0
k2_p100Synth-NFkB,1000,0
Kd2_p100Synth-NFkB,150,0
k3_p100Synth-NFkB,1500,0
Kd3_p100Synth-NFkB,150,0
k4_p100Synth-NFkB,1500,0
Kd4_p100Synth-NFkB,150,0
kh_p100Synth-NFkB,1,0
basal_cRelSynth-NFkB,3.60E-05,1
k1_cRelSynth-NFkB,20,0
Kd1_cRelSynth-NFkB,150,0
k2_cRelSynth-NFkB,20,0
Kd2_cRelSynth-NFkB,150,0
k3_cRelSynth-NFkB,20,0
Kd3_cRelSynth-NFkB,150,0
k4_cRelSynth-NFkB,20,0
Kd4_cRelSynth-NFkB,150,0
kh_cRelSynth-NFkB,1,0
k1_tRelAdeg-NFkB,0.0029,1
k1_tp50deg-NFkB,0.0029,1
k1_tRelBdeg-NFkB,0.0029,1
k1_tp100deg-NFkB,0.00096,1
k1_tcReldeg-NFkB,0.00096,1
k1_monTsl-NFkB,12,0
k1_monDeg-NFkB,0.0228,1
k1_NIKSynth-NFkB,0.042,1
k1_p100Dimerization-NFkB,0.012,0
k1_p100Dissociation-NFkB,0.012,0
k1_onNIKp100-NFkB,0.005,0
k1_offNIKp100-NFkB,0.00024,0
k1_NIKp100Processing-NFkB,0.5,0
k1_NIKDeltaDeg-NFkB,10,0
k1_NIKConstDeg-NFkB,0.092,1
nik_deg_mod-NFkB,NIKFunc(t),0
scale_p100-NFkB,100000,0
scale_ind-NFkB,100000,0
scale_ikb-NFkB,1,0
